"Name","Owner","Tier","Score","Pitch","Phone","Email","Email Quality","Reviews","Rating","Website","Site Type","Possible Duplicate Of","Category","Address","All Emails","Profile URL"
"Skovronsky & Weiser Attorneys At Law","","Cool","54","Your site is solid. With 108 reviews and 4.7★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(718) 336-8886","info@completedisabilitylawyers.com","Role","108","4.7","https://www.completedisabilitylawyers.com/","Own site","","Social security attorney","1222 Avenue M Ste 501, Brooklyn, NY 11230","info@completedisabilitylawyers.com","https://www.google.com/maps/place/Skovronsky+%26+Weiser+Attorneys+At+Law/data=!4m7!3m6!1s0x89c244befdcbd535:0x93d60273d55a1a8!8m2!3d40.617633!4d-73.962111!16s%2Fg%2F1tf5lkdh!19sChIJNdXL_b5EwokRqKFVPSdgPQk?authuser=0&hl=en&rclk=1"
"Gorodetsky Law Group","Staff Greg","Skip","28","Hi Staff, you've built a solid foundation (37 reviews, 4.2★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(718) 645-4604","glaw@gorodetsky-law.com","Personal","37","4.2","http://www.gorodetsky-law.com/","Own site","","Divorce lawyer","1723 E 12th St, Brooklyn, NY 11229","glaw@gorodetsky-law.com; springweal@aol.com","https://www.google.com/maps/place/Gorodetsky+Law+Group/data=!4m7!3m6!1s0x89c244ecbf3b8729:0xb1262d164293ca8c!8m2!3d40.607358!4d-73.960664!16s%2Fg%2F11bwymyrt7!19sChIJKYc7v-xEwokRjMqTQhYtJrE?authuser=0&hl=en&rclk=1"
"The Law Offices of Michael S. Lamonsoff, PLLC","","Warm","60","Your site is solid. With 582 reviews and 4.7★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 962-1020","","","582","4.7","https://www.msllegal.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-nyc","Own site","","Law firm","32 Old Slip, New York, NY 10005","","https://www.google.com/maps/place/The+Law+Offices+of+Michael+S.+Lamonsoff,+PLLC/data=!4m7!3m6!1s0x89c25a17cf5696eb:0x27c28a1d9b84b09c!8m2!3d40.7037845!4d-74.0080471!16s%2Fg%2F1wn_7073!19sChIJ65ZWzxdawokRnLCEmx2Kwic?authuser=0&hl=en&rclk=1"
"Pardalis and Nohavicka Lawyers","","Cool","50","Your site is solid. With 125 reviews and 4.7★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 213-8511","","","125","4.7","https://pnlawyers.com/","Own site","Pardalis & Nohavicka Lawyers","Law firm","950 3rd Ave 11th floor, New York, NY 10022","","https://www.google.com/maps/place/Pardalis+and+Nohavicka+Lawyers/data=!4m7!3m6!1s0x89c258e32e3f2751:0xb463a10a805fe02d!8m2!3d40.7602219!4d-73.9680614!16s%2Fg%2F11c0v8fylh!19sChIJUSc_LuNYwokRLeBfgAqhY7Q?authuser=0&hl=en&rclk=1"
"Weitz & Luxenberg NYC","Perry Weitz","Warm","68","Hi Perry, your site is solid. With 685 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(917) 529-9377","media@weitzlux.com","Personal","685","4.8","https://www.weitzlux.com/locations/new-york-ny/","Own site","","Law firm","700 Broadway, New York, NY 10003","media@weitzlux.com; marketing@weitzlux.com; info@weitzlux.com","https://www.google.com/maps/place/Weitz+%26+Luxenberg+NYC/data=!4m7!3m6!1s0x89c25b45cb767ac9:0xf191a99e16690546!8m2!3d40.7284098!4d-73.9937922!16s%2Fg%2F11g22zwcj0!19sChIJyXp2y0VbwokRRgVpFp6pkfE?authuser=0&hl=en&rclk=1"
"Romano Law","Gregory Seta Director","Warm","64","Hi Gregory, your site is solid. With 350 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(516) 518-3439","","","350","4.9","https://www.romanolaw.com/","Own site","","Law firm","One Battery Park Plaza, Battery Pl 7th Floor, New York, NY 10004","","https://www.google.com/maps/place/Romano+Law/data=!4m7!3m6!1s0x89c25a16a2cfaec5:0xdcdc988edead8318!8m2!3d40.7033758!4d-74.0138065!16s%2Fg%2F1hhwh83h5!19sChIJxa7PohZawokRGIOt3o6Y3Nw?authuser=0&hl=en&rclk=1"
"ILGANAYEV LAW FIRM, PLLC","","Warm","58","Your site is solid. With 129 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 396-8050","ilganayevlaw@gmail.com","Free (Personal)","129","4.9","http://www.ilganayevlaw.com/","Own site","","Law firm","139 Fulton St Ste 801, New York, NY 10038","ilganayevlaw@gmail.com","https://www.google.com/maps/place/ILGANAYEV+LAW+FIRM,+PLLC/data=!4m7!3m6!1s0x89c25a186b2f5b85:0x59ea9bd9de257987!8m2!3d40.7104617!4d-74.0077673!16s%2Fg%2F11c6ppq56v!19sChIJhVsvaxhawokRh3kl3tmb6lk?authuser=0&hl=en&rclk=1"
"Lebedin Kofman LLP","","Warm","68","Your site is solid. With 485 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 663-4430","info@lebedinkofmanlaw.com","Role","485","4.9","https://www.lebedinkofman.com/","Own site","","Law firm","26 Broadway 3rd floor, New York, NY 10004","info@lebedinkofmanlaw.com","https://www.google.com/maps/place/Lebedin+Kofman+LLP/data=!4m7!3m6!1s0x89c25a16ed8593df:0x79c4a1a5eb39e2bd!8m2!3d40.7052301!4d-74.0131831!16s%2Fg%2F12ll5gh55!19sChIJ35OF7RZawokRveI566WhxHk?authuser=0&hl=en&rclk=1"
"Kimmel & Silverman, P.C., New York Lemon Law Firm","","Warm","64","Your site is solid. With 315 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(800) 536-6652","","","315","5","https://www.lemonlaw.com/new-york/","Own site","","Law firm","1001 6th Ave 12th floor, New York, NY 10018","","https://www.google.com/maps/place/Kimmel+%26+Silverman,+P.C.,+New+York+Lemon+Law+Firm/data=!4m7!3m6!1s0x89c259abb7eb69e1:0x3305a95b07fd037c!8m2!3d40.7519978!4d-73.9865363!16s%2Fg%2F11f1kfgty1!19sChIJ4Wnrt6tZwokRfAP9B1upBTM?authuser=0&hl=en&rclk=1"
"The Shapiro Law Firm, LLC","","Warm","58","Your site is solid. With 183 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 444-8064","contact@theshapirolawyers.com","Role","183","5","https://www.theshapirolawyers.com/","Own site","","Law firm","11 Broadway suite 615, New York, NY 10004","contact@theshapirolawyers.com","https://www.google.com/maps/place/The+Shapiro+Law+Firm,+LLC/data=!4m7!3m6!1s0x89c25a115e75b665:0xb82e370019e1e7e0!8m2!3d40.7062458!4d-74.0174903!16s%2Fg%2F113fkpzjr!19sChIJZbZ1XhFawokR4OfhGQA3Lrg?authuser=0&hl=en&rclk=1"
